what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1375736598204
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1375736599951
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1375736601178
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1375736602557
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375736610468
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1375736610976
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1375736614125
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1375736614218
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1375736649634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736655761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736657338
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375736658916
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1375736664713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736667785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736672590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736675979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736676424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736685369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736687053
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1375736698166
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1375736698284
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375736703070
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375736705929
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1375736705982
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1375736791769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736835151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1375736835204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736837797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375736840780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375736845091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736851774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736854728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375736872325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375736877367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736887731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736893661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375736898095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375736903067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375736905643
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375736910547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736915537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736918785
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1375736918895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736935160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736936831
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1375736954366
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1375736954489
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1375736960833
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375736960858
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375736964834
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375736965194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736993227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375736997044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375737030419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375737032571
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1375737055052
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1375737076961
